Address,Location,Type,,Tags
10.1.67.0/24,dg-core-prd,IP Netmask,,
10.11.1.0/24,dg-core-prd,IP Netmask,,
10.110.16.0/24,dg-core-prd,IP Netmask,,
10.110.16.0/25,dg-core-prd,IP Netmask,,
10.110.5.0/28,dg-core-prd,IP Netmask,,
10.110.7.192/27,dg-core-prd,IP Netmask,,
10.110.7.224/28,dg-core-prd,IP Netmask,,
10.110.7.240/28,dg-core-prd,IP Netmask,,
10.12.101.0/24,dg-core-prd,IP Netmask,,
10.12.102.0/24,dg-core-prd,IP Netmask,,
10.12.103.0/24,dg-core-prd,IP Netmask,,
10.12.104.0/24,dg-core-prd,IP Netmask,,
10.12.105.0/24,dg-core-prd,IP Netmask,,
10.12.106.0/24,dg-core-prd,IP Netmask,,
10.12.107.0/24,dg-core-prd,IP Netmask,,
10.12.108.0/24,dg-core-prd,IP Netmask,,
10.12.109.0/24,dg-core-prd,IP Netmask,,
10.12.110.0/24,dg-core-prd,IP Netmask,,
10.12.111.0/24,dg-core-prd,IP Netmask,,
10.12.112.0/24,dg-core-prd,IP Netmask,,
10.12.116.0/14,dg-core-prd,IP Netmask,,
10.12.120.0/24,dg-core-prd,IP Netmask,,
10.12.121.0/24,dg-core-prd,IP Netmask,,
10.12.122.0/24,dg-core-prd,IP Netmask,,
10.12.123.0/24,dg-core-prd,IP Netmask,,
10.12.124.0/24,dg-core-prd,IP Netmask,,
10.12.125.0/24,dg-core-prd,IP Netmask,,
10.12.126.0/24,dg-core-prd,IP Netmask,,
10.12.127.0/24,dg-core-prd,IP Netmask,,
10.12.128.0/18,dg-core-prd,IP Netmask,,
10.12.128.0/24,dg-core-prd,IP Netmask,,
10.12.17.0/24,dg-core-prd,IP Netmask,,
10.12.208.0/20,dg-core-prd,IP Netmask,,
10.12.224.0/20,dg-core-prd,IP Netmask,,
10.12.30.0/24,dg-core-prd,IP Netmask,,
10.12.64.0/18,dg-core-prd,IP Netmask,,
10.124.120.4,dg-core-prd,IP Netmask,,
10.13.1.0/24,dg-core-prd,IP Netmask,,
10.14.165.0/27,dg-core-prd,IP Netmask,,
10.14.250.0/24,dg-core-prd,IP Netmask,,
10.15.1.0/24,dg-core-prd,IP Netmask,,
10.18.1.0/24,dg-core-prd,IP Netmask,,
10.2.0.0/16,dg-core-prd,IP Netmask,,
10.2.11.0/24,dg-core-prd,IP Netmask,,
10.2.12.0/24,dg-core-prd,IP Netmask,,
10.2.13.0/25,dg-core-prd,IP Netmask,,
10.2.13.128/25,dg-core-prd,IP Netmask,,
10.2.14.128/25,dg-core-prd,IP Netmask,,
10.2.17.0/25,dg-core-prd,IP Netmask,,
10.2.17.128/25,dg-core-prd,IP Netmask,,
10.2.18.0/24,dg-core-prd,IP Netmask,,
10.2.19.0/25,dg-core-prd,IP Netmask,,
10.2.2.0/24,dg-core-prd,IP Netmask,,
10.2.24.0/28,dg-core-prd,IP Netmask,,
10.2.25.0/25,dg-core-prd,IP Netmask,,
10.2.3.0/24,dg-core-prd,IP Netmask,,
10.2.4.0/24,dg-core-prd,IP Netmask,,
10.2.40.0/28,dg-core-prd,IP Netmask,,
10.2.44.0/24,dg-core-prd,IP Netmask,,
10.2.5.0/24,dg-core-prd,IP Netmask,,
10.2.50.0/24,dg-core-prd,IP Netmask,,
10.2.6.0/24,dg-core-prd,IP Netmask,,
10.2.8.0/24,dg-core-prd,IP Netmask,,
10.2.9.0/24,dg-core-prd,IP Netmask,,
10.21.0.0/18,dg-core-prd,IP Netmask,,
10.21.0.0/24,dg-core-prd,IP Netmask,,
10.21.1.0/24,dg-core-prd,IP Netmask,,
10.21.16.0/24,dg-core-prd,IP Netmask,,
10.21.19.0/24,dg-core-prd,IP Netmask,,
10.21.20.0/24,dg-core-prd,IP Netmask,,
10.21.250.64/27,dg-core-prd,IP Netmask,,
10.21.3.0/24,dg-core-prd,IP Netmask,,
10.21.31.0/24,dg-core-prd,IP Netmask,,
10.21.4.0/24,dg-core-prd,IP Netmask,,
10.21.5.0/24,dg-core-prd,IP Netmask,,
10.21.6.0/24,dg-core-prd,IP Netmask,,
10.21.7.0/24,dg-core-prd,IP Netmask,,
10.21.8.0/23,dg-core-prd,IP Netmask,,
10.224.0.232/32,dg-core-prd,IP Netmask,,
10.224.140.0/23,dg-core-prd,IP Netmask,,
10.224.140.211,dg-core-prd,IP Netmask,,
10.224.5.5,dg-core-prd,IP Netmask,,
10.224.86.4,dg-core-prd,IP Netmask,,
10.232.3.128/25,dg-core-prd,IP Netmask,,
10.26.1.0/24,dg-core-prd,IP Netmask,,
10.28.0.0/16,dg-core-prd,IP Netmask,,
